VIN,Dealer,Make,Mileage,Model,Price,Year,modelYearId,MarketValue
2FMPK4K91GBB21989,Allan Turner,Ford,35808.0,Edge,19998,2016,7504,18435.714285714286
1FMCU9GD2JUB27112,Allan Turner,Ford,8986.0,Escape,20215,2018,8673,18017.85714285714
3GNAXHEV7KS622889,Allan Turner,Chevrolet,12038.0,Equinox,20276,2019,9616,21620.0
WBA5A5C52GG350557,Allan Turner,Bmw,70582.0,5 Series,20464,2016,7436,22293.75
KM8J33A49JU671123,Allan Turner,Hyundai,24217.0,Tucson,20494,2018,8697,18639.58333333333
5XYZW4LA1HG482453,Allan Turner,Hyundai,65015.0,Santa Fe Sport,20958,2017,7632,19150.0
2GNAXKEV5K6305575,Allan Turner,Chevrolet,13064.0,Equinox,20999,2019,9616,21620.0
5XYZU3LBXJG550201,Allan Turner,Hyundai,29910.0,Santa Fe Sport,21034,2018,8278,21216.666666666668
5NPE34AB3JH614498,Allan Turner,Hyundai,39651.0,Sonata,21118,2018,8220,19606.666666666668
3VV3B7AX0JM000933,Allan Turner,Volkswagen,24314.0,Tiguan,21155,2018,8093,20953.125
2HGFC1E52HH707475,Allan Turner,Honda,47485.0,Civic,21394,2017,7662,18696.153846153848
2C3CDXHGXHH643480,Allan Turner,Dodge,55467.0,Charger,21461,2017,7715,31353.125
KM8J33A45KU041651,Allan Turner,Hyundai,7445.0,Tucson,21470,2019,9265,21233.928571428565
KMHE34L1XHA044601,Allan Turner,Hyundai,61463.0,Sonata Hybrid,21644,2017,0,2600.0
5N1AT2MT3KC739629,Allan Turner,Nissan,42601.0,Rogue,21724,2019,9761,20437.5
2GKFLPE34H6216910,Allan Turner,Gmc,39948.0,Terrain,21920,2017,7830,18433.33333333333
3GNAXMEVXJS627740,Allan Turner,Chevrolet,29310.0,Equinox,22268,2018,7991,19556.666666666668
1HGCV1F12JA197982,Allan Turner,Honda,19196.0,Accord,22394,2018,8513,24819.117647058818
3C4NJDDB1KT695357,Allan Turner,Jeep,34942.0,Compass,22707,2019,9681,20128.571428571428
2GNAXUEV0K6230098,Allan Turner,Chevrolet,23656.0,Equinox,22795,2019,9616,21620.0
KMHGN4JE8GU107829,Allan Turner,Hyundai,34943.0,Genesis,23213,2016,7531,20750.0
KM8K53A53JU094404,Allan Turner,Hyundai,3398.0,Kona,23448,2018,8433,18590.625
2GNAXPEXXK6279179,Allan Turner,Chevrolet,21143.0,Equinox,23488,2019,9616,21620.0
1FA6P8CF2F5385194,Allan Turner,Ford,60462.0,Mustang,23703,2015,7021,22141.66666666667
KM8J33AL1LU144171,Allan Turner,Hyundai,5458.0,Tucson,23789,2020,0,2600.0
JF2GTABC1L8227983,Allan Turner,Subaru,7590.0,Crosstrek,23799,2020,0,2600.0
1G1YY25W985122996,Allan Turner,Chevrolet,69946.0,Corvette,23979,2008,5015,22983.33333333333
1GTH5BEA1J1259402,Allan Turner,Gmc,33200.0,Canyon,23987,2018,8877,29215.0
3GKALVEV3LL127818,Allan Turner,Gmc,44991.0,Terrain,24147,2020,0,2600.0
KMHGN4JE7GU115047,Allan Turner,Hyundai,51385.0,Genesis,24184,2016,7531,20750.0
2C4RC1BGXJR143155,Allan Turner,Chrysler,40922.0,Pacifica,24369,2018,8975,23135.0
5NMS23AD3LH151277,Allan Turner,Hyundai,8837.0,Santa Fe,24385,2020,0,2600.0
KMHGN4JF9FU020965,Allan Turner,Hyundai,34390.0,Genesis,24551,2015,6964,18175.0
5NMS23AD8LH154742,Allan Turner,Hyundai,8604.0,Santa Fe,24596,2020,0,2600.0
1FA6P8TH8K5166154,Allan Turner,Ford,22918.0,Mustang,24653,2019,9185,33497.22222222222
1C4RJEAG8HC610526,Allan Turner,Jeep,35778.0,Grand Cherokee,24878,2017,7671,29567.5
1GCHSBEN7J1282260,Allan Turner,Chevrolet,21531.0,Colorado,24926,2018,8873,28238.09523809524
1FM5K7D82KGA04632,Allan Turner,Ford,52019.0,Explorer,25200,2019,9729,30453.125
2C3CDXBG3KH700134,Allan Turner,Dodge,18631.0,Charger,25339,2019,9622,26425.0
1FT7X2A61GEB69305,Allan Turner,Ford,44969.0,F-250SD,25613,2016,0,2600.0
1FM5K7DH6JGC26878,Allan Turner,Ford,24101.0,Explorer,25997,2018,8233,28668.75
1GNSCBKC6FR535025,Allan Turner,Chevrolet,121958.0,Tahoe,26128,2015,6950,28716.66666666667
1FATP8UH3K5162322,Allan Turner,Ford,31615.0,Mustang,26170,2019,9185,33497.22222222222
2T2BK1BA3FC335486,Allan Turner,Lexus,53610.0,RX,26255,2015,7014,22033.33333333333
5XYPK4A55JG369779,Allan Turner,Kia,42148.0,Sorento,26607,2018,8653,23394.230769230766
1G1FB1RS5K0148087,Allan Turner,Chevrolet,29540.0,Camaro,26776,2019,9567,36267.307692307695
JTEZU4BF0DK013101,Allan Turner,Toyota,78493.0,FJ Cruiser,26852,2013,6554,23500.0
1FATP8UH7K5161593,Allan Turner,Ford,26195.0,Mustang,26997,2019,9185,33497.22222222222
1FM5K7D83JGA40117,Allan Turner,Ford,29800.0,Explorer,27487,2018,8233,28668.75
1C4BJWCG8EL144564,Allan Turner,Jeep,50961.0,Wrangler,28562,2014,6903,23700.0
KNDME5C10J6356371,Allan Turner,Kia,28580.0,Sedona,28810,2018,8991,22085.0
1FA6P8TH7K5105717,Allan Turner,Ford,10300.0,Mustang,28998,2019,9185,33497.22222222222
1GKKNWLS2JZ151367,Allan Turner,Gmc,40202.0,Acadia,28998,2018,8876,25829.545454545456
1FTFW1EG2GFC10370,Allan Turner,Ford,69101.0,F-150,28998,2016,7500,28922.727272727272
1C4RJEAG7JC289228,Allan Turner,Jeep,32277.0,Grand Cherokee,29095,2018,8228,35447.72727272727
5FNYF5H50JB010884,Allan Turner,Honda,48001.0,Pilot,29299,2018,8516,29951.470588235294
1GNERGKW3JJ128242,Allan Turner,Chevrolet,32698.0,Traverse,29480,2018,8072,28477.272727272728
1C6RR7GT7GS349183,Allan Turner,Ram,52580.0,1500,29735,2016,7543,25197.580645161288
1GNSCGEC3GR273765,Allan Turner,Chevrolet,77383.0,Suburban,29944,2016,7377,36825.0
5LMCJ2C93KUL07893,Allan Turner,Lincoln,8514.0,MKC,29966,2019,9119,29709.375
1HGCV1F50LA005626,Allan Turner,Honda,4682.0,Accord,29995,2020,0,2600.0
1GCGSCEN8L1227370,Allan Turner,Chevrolet,3009.0,Colorado,29998,2020,0,2600.0
1GCGTCEN3K1201674,Allan Turner,Chevrolet,33368.0,Colorado,30118,2019,9573,29688.09523809524
5FNYF6H78HB089724,Allan Turner,Honda,22402.0,Pilot,30217,2017,7799,26385.29411764706
5NPEH4J2XLH014470,Allan Turner,Hyundai,1497.0,Sonata,30230,2020,0,2600.0
4T1B61HK6KU785439,Allan Turner,Toyota,17871.0,Camry,30568,2019,9771,25032.5
5N1DR2MN1KC609622,Allan Turner,Nissan,9205.0,Pathfinder,31085,2019,9760,25653.125
1FTER4EH7KLA53507,Allan Turner,Ford,3803.0,Ranger,31360,2019,9180,29863.46153846154
1FTEW1C47LFA25178,Allan Turner,Ford,28027.0,F-150,31983,2020,0,2600.0
1C6RR6TT1KS694413,Allan Turner,Ram,32971.0,1500 Classic,32387,2019,9685,
1GNERGKW0KJ204422,Allan Turner,Chevrolet,20301.0,Traverse,32540,2019,9319,32185.41666666667
1C6RR6TTXKS706882,Allan Turner,Ram,34233.0,1500 Classic,32764,2019,9685,
JTEZU5JR8H5162717,Allan Turner,Toyota,27015.0,4Runner,33213,2017,7766,31352.777777777777
1FBAX2Y89LKA32562,Allan Turner,Ford,1142.0,Transit-350,33497,2020,0,2600.0
3GTU2NEC3HG193165,Allan Turner,Gmc,99514.0,Sierra 1500,33703,2017,7596,30288.888888888887
KMHGN4JF4HU173207,Allan Turner,Genesis,28717.0,G80,33876,2017,7683,28116.66666666667
JTEBU5JR8H5464364,Allan Turner,Toyota,43298.0,4Runner,34185,2017,7766,31352.777777777777
2T3N1RFV2KW045790,Allan Turner,Toyota,7167.0,RAV4,34659,2019,9261,27750.0
5TDKZRFH9KS552256,Allan Turner,Toyota,15751.0,Highlander,34700,2019,9772,34261.76470588235
1FTFW1EG4GFA02877,Allan Turner,Ford,85249.0,F-150,34994,2016,7500,28922.727272727272
5TDYZRFH8JS253060,Allan Turner,Toyota,26062.0,Highlander,35167,2018,8993,30789.70588235294
1GC2CVEG1GZ372374,Allan Turner,Chevrolet,21102.0,Silverado 2500HD,35174,2016,7509,
1V2WR2CA9KC538583,Allan Turner,Volkswagen,13385.0,Atlas,35202,2019,9779,31496.153846153848
1GCVKREC3JZ114112,Allan Turner,Chevrolet,29088.0,Silverado 1500,35782,2018,8753,31433.796296296296
KMTG44LAXKU022714,Allan Turner,Genesis,2215.0,G70,36215,2019,9053,35214.77272727273
JALCDW166J7007923,Allan Turner,Chevrolet,16329.0,4500HD LCF Diesel,36914,2018,0,2600.0
3PCAJ5M14KF118896,Allan Turner,Infiniti,15133.0,QX50,36982,2019,9139,31912.5
1GC1KVEY0HF156655,Allan Turner,Chevrolet,117064.0,Silverado 2500HD,37568,2017,7807,
WDAPF4CD6KN025254,Allan Turner,Mercedes-benz,579.0,Sprinter 3500,38060,2019,0,2600.0
1N6BA1F41JN548919,Allan Turner,Nissan,55593.0,Titan XD,38234,2018,8498,31242.361111111117
JN8AY2NC0H9508928,Allan Turner,Nissan,39458.0,Armada,38321,2017,7628,30779.16666666667
5TFDW5F12HX664249,Allan Turner,Toyota,61161.0,Tundra,38552,2017,7768,34186.11111111112
3GNKBERS9LS554615,Allan Turner,Chevrolet,11307.0,Blazer,38974,2020,0,2600.0
1GKS2CKJ0FR160589,Allan Turner,Gmc,61771.0,Yukon,39045,2015,6948,29250.0
3GCUKREC3JG320283,Allan Turner,Chevrolet,33260.0,Silverado 1500,39407,2018,8753,31433.796296296296
1GCPWDED3KZ133401,Allan Turner,Chevrolet,20608.0,Silverado 1500,40175,2019,9174,39582.738095238084
1GCPWCED7LZ192530,Allan Turner,Chevrolet,4894.0,Silverado 1500,40679,2020,0,2600.0
