,Dealer,Manufacturer,MarketValue,Mileage,Model,Price,VIN,Year,modelYearId
150,Allan Turner,Hyundai,2600.0,8604.0,Santa Fe,24596,5NMS23AD8LH154742,2020,0
151,Allan Turner,Ford,30453.125,52019.0,Explorer,24599,1FM5K7D82KGA04632,2019,9729
152,Allan Turner,Jeep,29567.5,35778.0,Grand Cherokee,24878,1C4RJEAG8HC610526,2017,7671
153,Allan Turner,Ram,,97891.0,1500,24879,1C6RR7LG1FS509131,2015,7186
154,Allan Turner,Dodge,26425.0,18631.0,Charger,25339,2C3CDXBG3KH700134,2019,9622
155,Allan Turner,Chevrolet,36267.307692307695,29540.0,Camaro,25496,1G1FB1RS5K0148087,2019,9567
156,Allan Turner,Ford,2600.0,44969.0,F-250SD,25613,1FT7X2A61GEB69305,2016,0
157,Allan Turner,Ford,28668.75,24101.0,Explorer,25997,1FM5K7DH6JGC26878,2018,8233
158,Allan Turner,Chevrolet,,102500.0,Silverado 2500HD,25998,1GC1KXEG5CF102327,2012,6287
159,Allan Turner,Ford,33497.22222222222,26195.0,Mustang,25998,1FATP8UH7K5161593,2019,9185
160,Allan Turner,Chevrolet,,17473.0,Camaro,26113,1G1FA3DSXH0136340,2017,7637
161,Allan Turner,Chevrolet,28716.666666666668,121958.0,Tahoe,26128,1GNSCBKC6FR535025,2015,6950
162,Allan Turner,Ford,33497.22222222222,31615.0,Mustang,26170,1FATP8UH3K5162322,2019,9185
163,Allan Turner,Kia,23394.23076923077,42148.0,Sorento,26607,5XYPK4A55JG369779,2018,8653
164,Allan Turner,Chevrolet,28238.095238095237,20417.0,Colorado,27325,1GCHSDEN2J1167593,2018,8873
165,Allan Turner,GMC,22655.555555555555,96502.0,Sierra 1500,27997,1GTV2VEC4EZ207560,2014,6650
166,Allan Turner,Ford,33497.22222222222,10300.0,Mustang,27997,1FA6P8TH7K5105717,2019,9185
167,Allan Turner,Jeep,23700.0,50961.0,Wrangler,28238,1C4BJWCG8EL144564,2014,6903
168,Allan Turner,Ram,25197.58064516129,52580.0,1500,28705,1C6RR7GT7GS349183,2016,7543
169,Allan Turner,Kia,22085.0,28580.0,Sedona,28810,KNDME5C10J6356371,2018,8991
170,Allan Turner,Chevrolet,29153.225806451614,36733.0,Silverado 1500,28989,1GCRCPEC9HZ261581,2017,7788
171,Allan Turner,Jeep,35447.72727272727,32277.0,Grand Cherokee,29095,1C4RJEAG7JC289228,2018,8228
172,Allan Turner,Chevrolet,28477.272727272728,32698.0,Traverse,29480,1GNERGKW3JJ128242,2018,8072
173,Allan Turner,Lincoln,29709.375,8514.0,MKC,29966,5LMCJ2C93KUL07893,2019,9119
174,Allan Turner,Honda,2600.0,4682.0,Accord,29995,1HGCV1F50LA005626,2020,0
175,Allan Turner,Chevrolet,29688.095238095237,33368.0,Colorado,29997,1GCGTCEN3K1201674,2019,9573
176,Allan Turner,Chevrolet,2600.0,3009.0,Colorado,29998,1GCGSCEN8L1227370,2020,0
177,Allan Turner,Lincoln,,37823.0,MKX,30190,2LMPJ6LR9JBL11774,2018,8964
178,Allan Turner,Nissan,25653.125,9205.0,Pathfinder,30226,5N1DR2MN1KC609622,2019,9760
179,Allan Turner,Hyundai,2600.0,1497.0,Sonata,30230,5NPEH4J2XLH014470,2020,0
180,Allan Turner,Toyota,25032.5,17871.0,Camry,30568,4T1B61HK6KU785439,2019,9771
181,Allan Turner,Ford,,107467.0,F-150,31239,1FTFW1EG0FKE07768,2015,6988
182,Allan Turner,Ford,29863.46153846154,3803.0,Ranger,31360,1FTER4EH7KLA53507,2019,9180
183,Allan Turner,Subaru,,20561.0,Ascent,31497,4S4WMAFDXK3456678,2019,9140
184,Allan Turner,Ford,26952.777777777777,13659.0,Mustang,31523,1FA6P8CF6H5212782,2017,7717
185,Allan Turner,Nissan,,25457.0,Maxima,31855,1N4AA6AV4KC378988,2019,9757
186,Allan Turner,Ram,,32971.0,1500 Classic,31969,1C6RR6TT1KS694413,2019,9685
187,Allan Turner,Chevrolet,26456.666666666668,11737.0,Colorado,32108,1GCGSDEN9H1255062,2017,7871
188,Allan Turner,Ram,,34233.0,1500 Classic,32764,1C6RR6TTXKS706882,2019,9685
189,Allan Turner,Toyota,31352.777777777777,64919.0,4Runner,33232,JTEBU5JR9H5417358,2017,7766
190,Allan Turner,Chevrolet,29153.225806451614,18588.0,Silverado 1500,33363,1GCVKREHXHZ223883,2017,7788
191,Allan Turner,GMC,30288.88888888889,99514.0,Sierra 1500,33448,3GTU2NEC3HG193165,2017,7596
192,Allan Turner,Ford,2600.0,1142.0,Transit-350,33497,1FBAX2Y89LKA32562,2020,0
193,Allan Turner,Chevrolet,29153.225806451614,90927.0,Silverado 1500,33959,3GCUKSEC0HG201575,2017,7788
194,Allan Turner,Nissan,26712.5,67259.0,Titan,33973,1N6AA1E60HN514785,2017,7634
195,Allan Turner,Toyota,31352.777777777777,43298.0,4Runner,34185,JTEBU5JR8H5464364,2017,7766
196,Allan Turner,Honda,2600.0,12447.0,Pilot,34521,5FNYF5H58LB005208,2020,0
197,Allan Turner,Toyota,27750.0,7167.0,RAV4,34659,2T3N1RFV2KW045790,2019,9261
198,Allan Turner,Ford,28922.727272727272,85249.0,F-150,34994,1FTFW1EG4GFA02877,2016,7500
199,Allan Turner,Toyota,30789.70588235294,26062.0,Highlander,35167,5TDYZRFH8JS253060,2018,8993
200,Allan Turner,Chevrolet,31433.796296296296,19418.0,Silverado 1500,35387,3GCPCREC3JG519523,2018,8753
201,Allan Turner,Chevrolet,31433.796296296296,29088.0,Silverado 1500,35703,1GCVKREC3JZ114112,2018,8753
202,Allan Turner,Chevrolet,2600.0,16329.0,4500HD LCF Diesel,35914,JALCDW166J7007923,2018,0
203,Allan Turner,Ford,38535.795454545456,8487.0,F-150,36475,1FTEW1CP2KFC79275,2019,9675
204,Allan Turner,GMC,24787.5,49079.0,Sierra 1500,36676,3GTU2VEC1FG353881,2015,7182
205,Allan Turner,Ford,,76426.0,F-150,36994,1FTEW1EG1FFB87822,2015,6988
206,Allan Turner,Chevrolet,31433.796296296296,43445.0,Silverado 1500,36998,1GCUKREC1JF140561,2018,8753
207,Allan Turner,Mercedes-Benz,2600.0,579.0,Sprinter 3500,37060,WDAPF4CD6KN025254,2019,0
208,Allan Turner,Chevrolet,,117064.0,Silverado 2500HD,37568,1GC1KVEY0HF156655,2017,7807
209,Allan Turner,Chevrolet,2600.0,11307.0,Blazer,37926,3GNKBERS9LS554615,2020,0
210,Allan Turner,Nissan,30779.166666666668,39458.0,Armada,38321,JN8AY2NC0H9508928,2017,7628
211,Allan Turner,Toyota,34186.11111111111,61161.0,Tundra,38541,5TFDW5F12HX664249,2017,7768
212,Allan Turner,Chevrolet,31433.796296296296,33260.0,Silverado 1500,38999,3GCUKREC3JG320283,2018,8753
213,Allan Turner,GMC,29250.0,61771.0,Yukon,39045,1GKS2CKJ0FR160589,2015,6948
214,Allan Turner,Lexus,,4221.0,ES,39335,58ABZ1B10KU020923,2019,9313
215,Allan Turner,Chevrolet,39582.73809523809,20608.0,Silverado 1500,39999,1GCPWDED3KZ133401,2019,9174
216,Allan Turner,GMC,32937.5,64009.0,Sierra 1500,40988,3GTU2NEC7JG202715,2018,8878
217,Allan Turner,Jeep,39045.0,1993.0,Wrangler,40999,1C4HJXDG0KW610626,2019,9684
218,Allan Turner,Ford,28922.727272727272,20568.0,F-150,41531,1FTEW1EF0GFA57278,2016,7500
219,Allan Turner,Chevrolet,39582.73809523809,9051.0,Silverado 1500,41646,1GCPWDED8KZ125634,2019,9174
220,Allan Turner,Chevrolet,2600.0,6453.0,Silverado 1500,43693,1GCRYCEF4LZ200880,2020,0
221,Allan Turner,Chevrolet,31433.796296296296,15879.0,Silverado 1500,44756,3GCUKSEC2JG608772,2018,8753
222,Allan Turner,Chevrolet,2600.0,33945.0,Suburban,45549,1GNSCHKC4LR168706,2020,0
223,Allan Turner,GMC,30288.88888888889,34138.0,Sierra 1500,46087,3GTU2PEJ4HG385379,2017,7596
224,Allan Turner,GMC,32937.5,30320.0,Sierra 1500,46573,3GTU2NEC0JG211823,2018,8878
225,Allan Turner,Cadillac,,67871.0,Escalade,46994,1GYS4DKJ4GR364822,2016,7370
226,Allan Turner,Chevrolet,2600.0,26923.0,Tahoe,48112,1GNSCBKC6LR108942,2020,0
227,Allan Turner,Ford,2600.0,68208.0,F-250SD,48467,1FT7W2BT8KEE57158,2019,0
228,Allan Turner,Chevrolet,2600.0,1938.0,Silverado 1500,48887,3GCUYEET5LG268018,2020,0
229,Allan Turner,Chevrolet,2600.0,3958.0,Silverado 1500,48887,1GCUYEET6LZ160037,2020,0
230,Allan Turner,Chevrolet,,53115.0,Silverado 2500HD,48939,1GC1KSEY0KF208081,2019,9716
231,Allan Turner,GMC,,34162.0,Yukon XL,49787,1GKS1HKJ2HR293647,2017,7832
232,Allan Turner,Lexus,49300.0,13600.0,GX,49879,JTJBM7FX8K5210486,2019,9742
233,Allan Turner,Ford,2600.0,43555.0,F-250SD,50499,1FT7W2BT7KEC16613,2019,0
234,Allan Turner,Ford,2600.0,46399.0,F-250SD,50623,1FT7W2BT9KEC16791,2019,0
235,Allan Turner,Ford,34787.5,20018.0,F-150,50821,1FTEW1E52JFA25415,2018,8096
236,Allan Turner,Nissan,2600.0,768.0,Titan,51564,1N6AA1EDXLN506622,2020,0
237,Allan Turner,Chevrolet,,63053.0,Silverado 2500HD,51749,1GC1KSEY5KF225247,2019,9716
238,Allan Turner,Chevrolet,,73500.0,Silverado 2500HD,51785,1GC1KXE84GF279479,2016,7509
239,Allan Turner,GMC,2600.0,6685.0,Sierra 1500,51920,3GTU9DED8LG145054,2020,0
240,Allan Turner,Ford,2600.0,57560.0,F-250SD,53632,1FT7W2BT0GEA95656,2016,0
