,Dealer,Manufacturer,Model,Year,Mileage,Price,VIN
208,Sandy Sansing,Toyota,Corolla,2018,30277,18000,2T1BURHE9JC019087
209,Sandy Sansing,Buick,Encore,2017,12201,18000,KL4CJASB1HB097797
210,Sandy Sansing,Chevrolet,Malibu,2017,22279,18000,1G1ZE5ST5HF135988
211,Sandy Sansing,Chevrolet,Equinox,2017,25698,18000,2GNALBEK8H1596550
212,Sandy Sansing,Hyundai,Santa Fe Sport,2017,51432,18000,5NMZU3LB2HH046869
213,Sandy Sansing,Buick,Regal,2017,45165,18000,2G4GL5EX2H9198702
214,Sandy Sansing,Mazda,CX-5,2016,52139,18000,JM3KE4CY7G0664736
215,Sandy Sansing,Nissan,Rogue,2017,10109,18000,5N1AT2MTXHC810799
216,Sandy Sansing,Kia,Optima,2019,30233,18170,5XXGT4L36KG290331
217,Sandy Sansing,Ford,Escape,2017,0,18171,1FMCU0GD1HUD72974
218,Sandy Sansing,Ford,Fusion Hybrid,2019,42810,18207,3FA6P0LU5KR139148
219,Sandy Sansing,Nissan,Altima,2018,44324,18222,1N4AL3APXJC281089
220,Sandy Sansing,Toyota,Corolla,2018,10169,18250,5YFBURHE5JP784345
221,Sandy Sansing,Nissan,Quest,2017,45272,18322,JN8AE2KP2H9166236
222,Sandy Sansing,Toyota,Camry,2017,40607,18369,4T1BF1FK8HU381053
223,Sandy Sansing,Toyota,Corolla,2020,17622,18421,5YFEPRAE8LP090041
224,Sandy Sansing,Nissan,Altima,2017,27490,18459,1N4AL3AP6HC156567
225,Sandy Sansing,BMW,X3,2014,72238,18488,5UXWX7C58EL984928
226,Sandy Sansing,Chevrolet,Equinox,2018,16599,18493,2GNAXKEX4J6345615
227,Sandy Sansing,Jeep,Renegade,2019,12612,18497,ZACNJABB0KPK83002
228,Sandy Sansing,Nissan,Altima,2018,50011,18500,1N4AL3AP1JC274998
229,Sandy Sansing,Hyundai,Tucson,2017,23768,18500,KM8J23A4XHU313803
230,Sandy Sansing,Hyundai,Tucson,2017,11881,18500,KM8J23A43HU519108
231,Sandy Sansing,Chevrolet,Equinox,2017,35306,18500,2GNALBEK3H1571572
232,Sandy Sansing,Volkswagen,Tiguan,2016,47506,18500,WVGAV7AX3GW603800
233,Sandy Sansing,Dodge,Grand Caravan,2019,44443,18500,2C4RDGCG2KR692574
234,Sandy Sansing,Kia,Optima,2020,37054,18500,5XXGT4L3XLG385573
235,Sandy Sansing,Kia,Optima,2020,41786,18500,5XXGT4L38LG384566
236,Sandy Sansing,Kia,Sorento,2017,25325,18500,5XYPG4A3XHG226157
237,Sandy Sansing,Hyundai,Elantra,2018,9510,18500,KMHD84LF4JU595426
238,Sandy Sansing,Toyota,Camry,2017,50096,18500,4T1BF1FK1HU795369
239,Sandy Sansing,Nissan,Altima,2017,42542,18500,1N4AL3AP8HC129774
240,Sandy Sansing,Buick,Encore,2018,24208,18500,KL4CJASB5JB547246
241,Sandy Sansing,Hyundai,Sonata,2017,29075,18500,5NPE34AF2HH437083
242,Sandy Sansing,Hyundai,Sonata,2018,17529,18520,5NPE24AF9JH649312
243,Sandy Sansing,Kia,Niro,2017,40501,18525,KNDCC3LC8H5072395
244,Sandy Sansing,Toyota,Corolla,2018,33814,18566,5YFBURHE5JP816338
245,Sandy Sansing,Nissan,Altima,2017,14010,18588,1N4AL3AP6HC122340
246,Sandy Sansing,Kia,Optima,2016,31618,18700,5XXGU4L3XGG109557
247,Sandy Sansing,Ford,Taurus,2019,60168,18829,1FAHP2F88KG107451
248,Sandy Sansing,Toyota,Camry,2017,37390,18858,4T1BF1FK2HU781576
249,Sandy Sansing,Kia,Optima,2020,38822,18863,5XXGT4L37LG385126
250,Sandy Sansing,Nissan,Altima,2017,30072,18900,1N4AL3AP6HC472292
251,Sandy Sansing,Nissan,Altima,2019,37512,18900,1N4BL4BV9KC201757
252,Sandy Sansing,Chevrolet,Impala,2019,54085,18925,2G11Z5SA8K9136892
253,Sandy Sansing,Chevrolet,Malibu,2019,50463,18987,1G1ZD5ST6KF117462
254,Sandy Sansing,Honda,Fit,2019,12340,18990,3HGGK5H41KM723032
255,Sandy Sansing,Chevrolet,Equinox,2019,27629,18993,3GNAXKEV4KS559733
256,Sandy Sansing,Ford,Expedition,2014,96288,18994,1FMJU1J53EEF37685
257,Sandy Sansing,Nissan,Altima,2018,47563,18995,1N4AL3AP4JC141619
258,Sandy Sansing,Chevrolet,Equinox,2017,23008,18995,2GNALBEK0H1594310
259,Sandy Sansing,Toyota,Corolla,2019,28595,18995,5YFBURHEXKP920177
260,Sandy Sansing,Land Rover,Range Rover Evoque,2014,100014,18995,SALVR2BG7EH863557
261,Sandy Sansing,Cadillac,SRX,2015,70724,18998,3GYFNCE3XFS550964
262,Sandy Sansing,Chevrolet,Equinox,2014,11382,19000,1GNALDEKXEZ137406
263,Sandy Sansing,Mazda,CX-3,2016,23630,19000,JM1DKBD7XG0117013
264,Sandy Sansing,Nissan,Rogue,2019,44843,19000,KNMAT2MT7KP511551
265,Sandy Sansing,Chevrolet,Malibu,2019,33312,19000,1G1ZD5ST4KF112695
266,Sandy Sansing,Ford,Escape,2019,16474,19000,1FMCU0F73KUA89706
267,Sandy Sansing,Nissan,Rogue,2017,20775,19000,KNMAT2MT0HP564536
268,Sandy Sansing,Honda,Odyssey,2014,78089,19065,5FNRL5H94EB062217
269,Sandy Sansing,Nissan,Rogue,2019,30242,19146,KNMAT2MT9KP507033
270,Sandy Sansing,Toyota,Corolla,2020,10251,19192,5YFEPRAE5LP075593
271,Sandy Sansing,Nissan,Altima,2019,35735,19197,1N4BL4BV2KC255143
272,Sandy Sansing,Nissan,Murano,2018,70103,19250,5N1AZ2MG7JN132279
273,Sandy Sansing,Chevrolet,Malibu,2017,21571,19287,1G1ZB5ST2HF239136
274,Sandy Sansing,Chevrolet,Silverado 1500,2014,117370,19288,3GCPCPEC4EG497283
275,Sandy Sansing,Kia,Optima,2016,28184,19300,5XXGU4L38GG081533
276,Sandy Sansing,Nissan,Rogue,2018,18682,19395,KNMAT2MT2JP581098
277,Sandy Sansing,Dodge,Grand Caravan,2018,29887,19500,2C4RDGEG5JR219778
278,Sandy Sansing,Toyota,Prius,2019,30268,19500,JTDKARFUXK3086147
279,Sandy Sansing,Nissan,Altima,2020,15844,19500,1N4BL4BV2LC130614
280,Sandy Sansing,Ford,Escape,2016,29968,19650,1FMCU0J93GUA04430
281,Sandy Sansing,Nissan,Altima,2019,28705,19659,1N4BL4BV7KC200378
282,Sandy Sansing,Jeep,Renegade,2019,28029,19725,ZACNJABB4KPK52643
283,Sandy Sansing,Ram,1500,2015,150075,19725,1C6RR7FTXFS551743
284,Sandy Sansing,Mazda,CX-5,2018,36023,19780,JM3KFABM3J1399230
285,Sandy Sansing,Nissan,Rogue,2017,35608,19790,JN8AT2MT7HW151894
286,Sandy Sansing,Chevrolet,Equinox,2019,31712,19800,3GNAXKEV9KS582358
287,Sandy Sansing,Hyundai,Tucson,2017,26094,19800,KM8J3CA45HU365630
288,Sandy Sansing,Nissan,Rogue,2019,43946,19881,KNMAT2MT6KP529684
289,Sandy Sansing,Nissan,Rogue,2017,20633,19888,5N1AT2MT7HC814616
290,Sandy Sansing,Kia,Sportage,2014,20538,19900,KNDPC3AC0E7557571
291,Sandy Sansing,Kia,Optima,2020,31532,19900,5XXGT4L37LG386857
292,Sandy Sansing,Jeep,Grand Cherokee,2016,78966,19963,1C4RJEAG0GC386568
293,Sandy Sansing,Ford,Escape,2018,15483,19978,1FMCU0F75JUB36538
294,Sandy Sansing,MINI,Clubman,2017,42057,19985,WMWLN5C52H2E32186
295,Sandy Sansing,Chevrolet,Silverado 2500HD Built After Aug 14,2015,209819,19989,1GC1CUEG2FF617902
296,Sandy Sansing,Mitsubishi,Outlander Sport,2019,28044,19990,JA4AR3AU5KU013894
297,Sandy Sansing,Ford,F-150,2011,110988,19991,1FTFW1CT5BFB14760
298,Sandy Sansing,Honda,Civic Sedan,2018,14837,19991,19XFC2F71JE014063
299,Sandy Sansing,Jeep,Grand Cherokee,2015,81795,19991,1C4RJEBGXFC677687
300,Sandy Sansing,Nissan,Altima,2018,17388,19995,1N4AL3AP1JC187604
301,Sandy Sansing,Nissan,Rogue,2017,34111,19995,JN8AT2MT8HW396509
302,Sandy Sansing,Nissan,Rogue,2019,27300,19995,JN8AT2MT4KW261647
303,Sandy Sansing,Chevrolet,Equinox,2020,33795,19995,2GNAXUEV7L6105763
304,Sandy Sansing,Kia,Sportage,2019,9568,19995,KNDPM3AC7K7614700
305,Sandy Sansing,Kia,Optima,2020,28929,19995,5XXGT4L39LG380896
306,Sandy Sansing,Ford,EcoSport,2019,26523,19995,MAJ6S3KL1KC267670
